blue,-48.63002,14.03835,0,0,0,0
yellow,-52.62643,14.20792,0,0,0,0
blue,-48.57969,12.45351,0,0,0,0
yellow,-52.52693,11.80599,0,0,0,0
blue,-48.15528,11.01890,0,0,0,0
yellow,-51.81960,9.41491,0,0,0,0
blue,-47.38917,9.73380,0,0,0,0
yellow,-50.54279,7.27318,0,0,0,0
blue,-46.32899,8.67823,0,0,0,0
yellow,-48.77576,5.51384,0,0,0,0
blue,-45.04056,7.91782,0,0,0,0
yellow,-46.62838,4.24646,0,0,0,0
blue,-43.51175,7.48278,0,0,0,0
yellow,-44.32655,3.56664,0,0,0,0
blue,-41.68375,7.25499,0,0,0,0
yellow,-42.18700,3.28678,0,0,0,0
blue,-39.70157,7.00585,0,0,0,0
yellow,-40.20040,3.03708,0,0,0,0
blue,-37.71718,6.75643,0,0,0,0
yellow,-38.21602,2.78766,0,0,0,0
blue,-35.73279,6.50701,0,0,0,0
yellow,-36.23163,2.53824,0,0,0,0
blue,-33.74841,6.25760,0,0,0,0
yellow,-34.24724,2.28882,0,0,0,0
blue,-31.76402,6.00818,0,0,0,0
yellow,-32.26286,2.03940,0,0,0,0
blue,-29.77963,5.75876,0,0,0,0
yellow,-30.27847,1.78998,0,0,0,0
blue,-27.79525,5.50934,0,0,0,0
yellow,-28.29408,1.54057,0,0,0,0
blue,-25.81086,5.25992,0,0,0,0
yellow,-26.30970,1.29115,0,0,0,0
blue,-23.82647,5.01050,0,0,0,0
yellow,-24.32531,1.04173,0,0,0,0
blue,-21.84209,4.76108,0,0,0,0
yellow,-22.34092,0.79231,0,0,0,0
blue,-19.85770,4.51166,0,0,0,0
yellow,-20.35654,0.54289,0,0,0,0
blue,-17.87331,4.26224,0,0,0,0
yellow,-18.37215,0.29347,0,0,0,0
blue,-15.88893,4.01283,0,0,0,0
yellow,-16.38776,0.04405,0,0,0,0
blue,-13.90454,3.76341,0,0,0,0
yellow,-14.40338,-0.20537,0,0,0,0
blue,-11.92015,3.51399,0,0,0,0
yellow,-12.41899,-0.45479,0,0,0,0
blue,-9.93577,3.26457,0,0,0,0
yellow,-10.43460,-0.70420,0,0,0,0
blue,-7.95138,3.01515,0,0,0,0
yellow,-8.45022,-0.95362,0,0,0,0
blue,-5.96699,2.76573,0,0,0,0
yellow,-6.46583,-1.20304,0,0,0,0
